ItemName,ItemType,Weight
heart,none,1
Cat00,skin,1
Cat01,skin,1
Cat02,skin,1
Cat03,skin,1
Cat04,skin,1
Cat05,skin,1
Cat06,skin,1
Cat07,skin,1
Cat08,skin,1
Cat09,skin,1
Face00,face,1
Face01,face,1
Face02,face,1
Face03,face,1
Face04,face,1
Face05,face,1
Face06,face,1
Face07,face,1
Face08,face,1
Face09,face,1
Face10,face,1
Face11,face,1
Face12,face,1
Face13,face,1
Face14,face,1
Face15,face,1
Face16,face,1
Face17,face,1
Face18,face,1
Face19,face,1
Face20,face,1
Face21,face,1
Face22,face,1
Face23,face,1
Face24,face,1
Face25,face,1
Face26,face,1
